n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_gerr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,3,1,1,1,1,0,0.06492604826037705,0.11771285822118002,0.14726694960028308,0.4985508918762207,0.12726640701293945
500,0.0,3,1,1,1,1,1,0.06754567250648633,0.13295650936824074,0.16623875325031995,0.8059096336364746,0.1706554889678955
500,0.0,3,1,1,1,1,2,0.06279750020917339,0.13169211244563195,0.16242404022776363,0.7728621959686279,0.15303754806518555
500,0.0,3,1,1,1,1,3,0.05703578454470066,0.12730161411932286,0.1728341181211252,0.6015384197235107,0.12253189086914062
500,0.0,3,1,1,1,1,4,0.061530070622083356,0.13925018513199433,0.18202689866052552,0.6117360591888428,0.1448965072631836
500,0.0,3,1,1,1,1,5,0.0693393066224794,0.12415639808163557,0.15610188438045305,0.5888192653656006,0.13452744483947754
500,0.0,3,1,1,1,1,6,0.059215252910258816,0.1163958313971712,0.15733990552005925,0.6386470794677734,0.10253024101257324
500,0.0,3,1,1,1,1,7,0.06493604745022555,0.11647532375707068,0.147362808127206,0.6575100421905518,0.13453435897827148
500,0.0,3,1,1,1,1,8,0.07383226420601488,0.14030544536868883,0.1668835655829487,0.6297256946563721,0.11852097511291504
500,0.0,3,1,1,1,1,9,0.06820915338888515,0.12947534109177622,0.17229521849020074,0.6047027111053467,0.12150764465332031
500,0.0,3,1,1,1,1,10,0.056980015972306966,0.12095599904800979,0.1496764432076215,0.6353001594543457,0.15508127212524414
500,0.0,3,1,1,1,1,11,0.07205565426987282,0.13515911902667585,0.1788035207708969,0.6055161952972412,0.11850357055664062
500,0.0,3,1,1,1,1,12,0.060679983245012184,0.12317989997574559,0.16030115994500754,0.6016952991485596,0.12152791023254395
500,0.0,3,1,1,1,1,13,0.05482605282306583,0.11229026340394585,0.15669717147694462,0.604931116104126,0.1120462417602539
500,0.0,3,1,1,1,1,14,0.05557615045646496,0.14832846064298866,0.198089994013882,0.618811845779419,0.11791825294494629
500,0.0,3,1,1,1,1,15,0.0724806921053086,0.15136114709261433,0.17172332612202856,0.6967248916625977,0.15517377853393555
500,0.0,3,1,1,1,1,16,0.061384510857399974,0.1617404856682562,0.195287491928195,0.612055778503418,0.12085580825805664
500,0.0,3,1,1,1,1,17,0.052631551324762806,0.1375501168214182,0.16676489945004877,0.5839042663574219,0.12309598922729492
500,0.0,3,1,1,1,1,18,0.06177228544020606,0.13259824914602586,0.16338390392152868,0.5877604484558105,0.12452125549316406
500,0.0,3,1,1,1,1,19,0.0593173228133416,0.15972834609935627,0.21509546910678828,0.6319773197174072,0.11451101303100586
500,0.0,3,1,1,1,1,20,0.060210690156387685,0.13699170090753465,0.17489974288668883,0.7783610820770264,0.1534261703491211
500,0.0,3,1,1,1,1,21,0.05479392306511725,0.11994307734183116,0.15882971657681394,0.6434228420257568,0.12657833099365234
500,0.0,3,1,1,1,1,22,0.053303525033921696,0.1323461873229222,0.16250424258214488,0.6570711135864258,0.12949800491333008
500,0.0,3,1,1,1,1,23,0.05225960380692677,0.12000506959316182,0.1521896714432847,0.5851194858551025,0.11949849128723145
500,0.0,3,1,1,1,1,24,0.06391752752183613,0.14372231802861055,0.18145891501046585,0.5846517086029053,0.1250472068786621
500,0.5,3,1,1,1,1,0,0.0887692026847552,0.13359982788250863,0.17632766675123834,0.8140592575073242,0.15074682235717773
500,0.5,3,1,1,1,1,1,0.07787526731479354,0.12609428705303286,0.1722014013669702,0.6025655269622803,0.12550926208496094
500,0.5,3,1,1,1,1,2,0.07582349350036295,0.12567710326496195,0.19514632289756886,0.6331827640533447,0.11851644515991211
500,0.5,3,1,1,1,1,3,0.06946358267540688,0.1319326778939834,0.18566750549456898,0.6103701591491699,0.1240849494934082
500,0.5,3,1,1,1,1,4,0.07892807688248833,0.12802834059216486,0.1878733249415928,0.5846312046051025,0.11732864379882812
500,0.5,3,1,1,1,1,5,0.07465933089173236,0.13672301448366855,0.1949550199527859,0.7824933528900146,0.16062617301940918
500,0.5,3,1,1,1,1,6,0.07793049659453846,0.13452932801133122,0.19660630667065723,0.5821130275726318,0.1314380168914795
500,0.5,3,1,1,1,1,7,0.06987626395151852,0.1425927646205679,0.18867506674602194,0.6133172512054443,0.13649821281433105
500,0.5,3,1,1,1,1,8,0.08705693572874358,0.11740462048596112,0.1756850381754545,0.6159298419952393,0.12004232406616211
500,0.5,3,1,1,1,1,9,0.07509628748038426,0.13436917086942185,0.187449906433597,0.6054904460906982,0.11414122581481934
500,0.5,3,1,1,1,1,10,0.07986429491724811,0.13000277519730352,0.1863902201180287,0.7432854175567627,0.12052655220031738
