n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,0.0,0.0,1,1,1,0,1.0731766083331818e-14,1.589752535806066e-14,0.3761768341064453,0.06701087951660156
500,0.0,0.0,0.0,1,1,1,1,1.2156379707701006e-14,1.166104191474638e-14,0.38426852226257324,0.06700587272644043
500,0.0,0.0,0.0,1,1,1,2,2.0284825911167076e-14,2.0226788844753565e-14,0.3497920036315918,0.06151843070983887
500,0.0,0.0,0.0,1,1,1,3,2.3068698995117056e-14,1.8894678177176877e-14,0.2991478443145752,0.054984331130981445
500,0.0,0.0,0.0,1,1,1,4,1.8887949615202415e-14,3.081243945852278e-14,0.31164121627807617,0.05553865432739258
500,0.0,0.0,0.0,1,1,1,5,1.4921327816624378e-14,2.4174325623459297e-14,0.33979320526123047,0.06903815269470215
500,0.0,0.0,0.0,1,1,1,6,1.3317189102507656e-14,1.9307748781549222e-14,0.3921973705291748,0.0772237777709961
500,0.0,0.0,0.0,1,1,1,7,1.2436557689322195e-14,1.6307812013652647e-14,0.3144662380218506,0.06800651550292969
500,0.0,0.0,0.0,1,1,1,8,1.5495368873916312e-14,1.3140557696760554e-14,0.35389280319213867,0.06951212882995605
500,0.0,0.0,0.0,1,1,1,9,2.7524003247143935e-14,1.9808382535834288e-14,0.33310985565185547,0.06298089027404785
500,0.0,0.0,0.0,1,1,1,10,1.3601145406002861e-14,9.028543609586259e-15,0.3143770694732666,0.0559995174407959
500,0.0,0.0,0.0,1,1,1,11,1.6223721576125066e-14,2.828956324064966e-14,0.32715630531311035,0.054984092712402344
500,0.0,0.0,0.0,1,1,1,12,1.334997023194082e-14,1.5372480116112342e-14,0.3135662078857422,0.05699920654296875
500,0.0,0.0,0.0,1,1,1,13,2.4354612168958946e-14,2.8332243914680207e-14,0.38109350204467773,0.07452797889709473
500,0.0,0.0,0.0,1,1,1,14,1.47395434865064e-14,2.5901306269295994e-14,0.3741147518157959,0.07850527763366699
500,0.0,0.0,0.0,1,1,1,15,1.9140000230241678e-14,1.613847699528322e-14,0.3148365020751953,0.0709829330444336
500,0.0,0.0,0.0,1,1,1,16,8.205048395534445e-15,1.6944273122371346e-14,0.3224620819091797,0.07051348686218262
500,0.0,0.0,0.0,1,1,1,17,1.9077915586409494e-14,3.1938166106671567e-14,0.3345608711242676,0.055507659912109375
500,0.0,0.0,0.0,1,1,1,18,2.0984536817869476e-14,1.900168680696495e-14,0.349625825881958,0.0634911060333252
500,0.0,0.0,0.0,1,1,1,19,2.619028307396079e-14,2.9225593944630285e-14,0.3417072296142578,0.0560002326965332
500,0.0,0.0,0.0,1,1,1,20,1.569417664573977e-14,1.915030128395535e-14,0.32634401321411133,0.07150006294250488
500,0.0,0.0,0.0,1,1,1,21,1.282042476257627e-14,1.883203021958419e-14,0.4205780029296875,0.0775148868560791
500,0.0,0.0,0.0,1,1,1,22,9.60679774612937e-15,1.6877672350847458e-14,0.30477356910705566,0.054039955139160156
500,0.0,0.0,0.0,1,1,1,23,1.949704727419777e-14,1.712921581461192e-14,0.3256962299346924,0.05450868606567383
500,0.0,0.0,0.0,1,1,1,24,1.587601941816377e-14,2.808052311790109e-14,0.3275899887084961,0.058065176010131836
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,0,0.0241283726201374,0.015095770009949482,0.3287162780761719,0.05350637435913086
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,1,0.02774268704949187,0.01745501745952072,0.31972646713256836,0.05951237678527832
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,2,0.020807759013444994,0.01509100631121632,0.3211851119995117,0.0560002326965332
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,3,0.02356673837924565,0.017568503673954072,0.35090041160583496,0.06801390647888184
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,4,0.02143422739175311,0.016055549290461633,0.319225549697876,0.0574953556060791
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,5,0.022182339922576216,0.017142698784064617,0.30927610397338867,0.05498242378234863
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,6,0.023718588856067296,0.0185271911576681,0.3290708065032959,0.055773258209228516
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,7,0.02093741658069858,0.01877751214510528,0.32827329635620117,0.06351137161254883
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,8,0.022775988267964852,0.013340773278835079,0.3212113380432129,0.06100273132324219
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,9,0.022792653729050698,0.01652967380624722,0.3225216865539551,0.0705099105834961
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,10,0.024963402799289745,0.016381821465564543,0.34578752517700195,0.0835258960723877
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,11,0.023293384359441706,0.013896560794665253,0.4259657859802246,0.0740349292755127
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,12,0.02257337454634744,0.019945667616098017,0.46279454231262207,0.09248757362365723
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,13,0.02251980346554172,0.015145770507561378,0.464080810546875,0.0855109691619873
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,14,0.018913323608396072,0.02020765996715863,0.4802064895629883,0.11050796508789062
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,15,0.021513557244776226,0.01620628993625804,0.5050127506256104,0.09641599655151367
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,16,0.02567734099855201,0.017817253865807518,0.5763182640075684,0.132523775100708
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,17,0.022375586959849057,0.0180504441961612,0.5827949047088623,0.10105061531066895
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,18,0.02374420107179206,0.016723465657400436,0.4504358768463135,0.09841561317443848
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,19,0.021716088458998875,0.017346343519379796,0.4583854675292969,0.1033172607421875
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,20,0.02152919588078586,0.020348084444779712,0.4600484371185303,0.09949803352355957
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,21,0.022905457708821686,0.014932631441473837,0.4512820243835449,0.09707355499267578
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,22,0.022790578422453273,0.01613635145170484,0.5551769733428955,0.13152503967285156
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,23,0.01921635333513574,0.017709025772556033,0.5776662826538086,0.1260521411895752
500,0.2,0.16640000000000005,0.08000000000000002,1,1,1,24,0.019317348701154546,0.01522481821995483,0.457409143447876,0.1080329418182373
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,0,0.040698587605594194,0.0343583453768812,0.46383118629455566,0.08851504325866699
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,1,0.05052376144799039,0.0453712158472309,0.5256264209747314,0.09949636459350586
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,2,0.04338399089642896,0.035841713951748844,0.44095778465270996,0.12411332130432129
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,3,0.05201422198405899,0.036998822612228074,0.560039758682251,0.12058281898498535
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,4,0.04631656540162186,0.039160234276255285,0.4663879871368408,0.10107684135437012
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,5,0.04693826576561696,0.034947721748462765,0.44226980209350586,0.09017539024353027
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,6,0.046884217857605534,0.04473106614597936,0.4794473648071289,0.10315918922424316
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,7,0.04503792837277849,0.0330151286179184,0.4968125820159912,0.11103582382202148
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,8,0.040371366452125385,0.04049936575827386,0.5870935916900635,0.14954280853271484
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,9,0.04323691260299441,0.03526622857749855,0.5585572719573975,0.09849143028259277
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,10,0.04854884340527267,0.044978473377804674,0.4866194725036621,0.1195223331451416
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,11,0.041825152250347726,0.03101914226799929,0.46512341499328613,0.09552502632141113
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,12,0.04427544070427587,0.039309350677237655,0.48962974548339844,0.09451985359191895
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,13,0.04249716868026766,0.03132368141557314,0.47162842750549316,0.10051536560058594
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,14,0.04855745607989199,0.04535439911503871,0.5531432628631592,0.1275312900543213
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,15,0.045809468651697986,0.03229277693502547,0.45960307121276855,0.09984111785888672
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,16,0.04526473559419572,0.03130093705180198,0.5545003414154053,0.1391918659210205
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,17,0.04695638106356956,0.032905392881722416,0.4770846366882324,0.09704780578613281
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,18,0.042473320003830674,0.030720994995296853,0.483431339263916,0.10207653045654297
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,19,0.04474500636626716,0.03505180119018762,0.4857923984527588,0.10754537582397461
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,20,0.04292171622653754,0.035615253242093234,0.645167350769043,0.1231546401977539
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,21,0.051620833087690346,0.03750954531692079,0.4913194179534912,0.09851503372192383
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,22,0.04261487313538381,0.03255222871551998,0.5171091556549072,0.1020362377166748
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,23,0.043455448523296664,0.039829158891937895,0.46637892723083496,0.1024165153503418
500,0.4,0.3456000000000001,0.16000000000000003,1,1,1,24,0.05550956014075881,0.038483153890073334,0.4531877040863037,0.09813284873962402
500,0.6000000000000001,0.5376000000000002,0.24000000000000005,1,1,1,0,0.06601122126105004,0.052919127667531804,0.6614060401916504,0.137251615524292
