n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,8,2,1,1,1,0,0.18950614304210894,0.3283536571531033,0.34122753143310547,0.07300305366516113
500,0.0,8,2,1,1,1,1,0.129523622985524,0.2833308087978675,0.420515775680542,0.07951092720031738
500,0.0,8,2,1,1,1,2,0.13868839198037475,0.272357254399217,0.3796854019165039,0.06504106521606445
500,0.0,8,2,1,1,1,3,0.14513460208869977,0.2751133373777308,0.34015870094299316,0.07852363586425781
500,0.0,8,2,1,1,1,4,0.12149497256112789,0.24998572783635203,0.40221261978149414,0.07351016998291016
500,0.0,8,2,1,1,1,5,0.13483528150714047,0.254607382796845,0.3682265281677246,0.06650018692016602
500,0.0,8,2,1,1,1,6,0.11973895122902817,0.2745080530503667,0.35126662254333496,0.06548666954040527
500,0.0,8,2,1,1,1,7,0.14727313340481912,0.24640670270490686,0.32405662536621094,0.06704950332641602
500,0.0,8,2,1,1,1,8,0.13824708427268653,0.2793561886407523,0.3816237449645996,0.07526159286499023
500,0.0,8,2,1,1,1,9,0.14042713593602546,0.25327287692837774,0.33769798278808594,0.06350088119506836
500,0.0,8,2,1,1,1,10,0.11771022074151513,0.28397616437253653,0.3394598960876465,0.0662374496459961
500,0.0,8,2,1,1,1,11,0.11535485556162474,0.27691171829390115,0.33059000968933105,0.06549263000488281
500,0.0,8,2,1,1,1,12,0.11455066973821616,0.2586826864226137,0.3399477005004883,0.06502842903137207
500,0.0,8,2,1,1,1,13,0.12754296069328597,0.2812742781895621,0.37636709213256836,0.06504654884338379
500,0.0,8,2,1,1,1,14,0.11702391870235633,0.2583629927946168,0.2981126308441162,0.07549405097961426
500,0.0,8,2,1,1,1,15,0.12882586561125167,0.2515543129953245,0.3820681571960449,0.07149171829223633
500,0.0,8,2,1,1,1,16,0.13159093648347628,0.2768429715603772,0.372128963470459,0.06549215316772461
500,0.0,8,2,1,1,1,17,0.1308512909035919,0.2506599792134107,0.37814784049987793,0.06551742553710938
500,0.0,8,2,1,1,1,18,0.12323775373080044,0.24057781374480386,0.32355499267578125,0.07338333129882812
500,0.0,8,2,1,1,1,19,0.1261050678166689,0.29865119039236887,0.32556724548339844,0.07202339172363281
500,0.0,8,2,1,1,1,20,0.1427804075955355,0.24843914057142333,0.36016249656677246,0.06523489952087402
500,0.0,8,2,1,1,1,21,0.13980595065209633,0.26498595210538434,0.38404202461242676,0.0642702579498291
500,0.0,8,2,1,1,1,22,0.13562290024352577,0.27863013350968135,0.3342864513397217,0.07481241226196289
500,0.0,8,2,1,1,1,23,0.120125281511458,0.2520348905372565,0.40087080001831055,0.07591080665588379
500,0.0,8,2,1,1,1,24,0.13807352653584518,0.2847258523687731,0.3415234088897705,0.06499171257019043
