n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,1,0.0,0.0,1,1,1,0,0.11059689639817277,0.08302720214052213,0.34006333351135254,0.06502580642700195
500,1,0.0,0.0,1,1,1,1,0.11291798602092104,0.06979115718115307,0.37514615058898926,0.06575894355773926
500,1,0.0,0.0,1,1,1,2,0.11034111960849961,0.07458461333157791,0.4063425064086914,0.08297133445739746
500,1,0.0,0.0,1,1,1,3,0.1092596799858664,0.0608027702553426,0.4123878479003906,0.08584809303283691
500,1,0.0,0.0,1,1,1,4,0.10728855761598025,0.07596566574075514,0.32088279724121094,0.06439733505249023
500,1,0.0,0.0,1,1,1,5,0.15234675236773404,0.07784555769168444,0.3326568603515625,0.0655665397644043
500,1,0.0,0.0,1,1,1,6,0.11154354353650255,0.07039791631793887,0.32720017433166504,0.07124924659729004
500,1,0.0,0.0,1,1,1,7,0.1345977046662682,0.06713535589946956,0.3264760971069336,0.06649661064147949
500,1,0.0,0.0,1,1,1,8,0.10870413504057126,0.08161346664365128,0.3264758586883545,0.06604719161987305
500,1,0.0,0.0,1,1,1,9,0.10382557293134397,0.10231248199235317,0.3371763229370117,0.06402850151062012
500,1,0.0,0.0,1,1,1,10,0.1000217119452632,0.06029796548278707,0.39136672019958496,0.08701276779174805
500,1,0.0,0.0,1,1,1,11,0.12056540942279091,0.06785874485120606,0.3385312557220459,0.06598806381225586
500,1,0.0,0.0,1,1,1,12,0.09872596364233749,0.07509853927341291,0.3474104404449463,0.0639803409576416
500,1,0.0,0.0,1,1,1,13,0.10646555721829495,0.084268329635034,0.35933804512023926,0.06405305862426758
500,1,0.0,0.0,1,1,1,14,0.11975310186233946,0.06979878529339315,0.3276803493499756,0.06290721893310547
500,1,0.0,0.0,1,1,1,15,0.11698150582404199,0.06616626625563996,0.35466790199279785,0.06442570686340332
500,1,0.0,0.0,1,1,1,16,0.11539609789416014,0.09935059383504767,0.3486018180847168,0.06349015235900879
500,1,0.0,0.0,1,1,1,17,0.13077177540668436,0.06964835942267202,0.3415498733520508,0.0787193775177002
500,1,0.0,0.0,1,1,1,18,0.11246420602865993,0.08650096135029027,0.3911564350128174,0.07569003105163574
500,1,0.0,0.0,1,1,1,19,0.1113517434551134,0.07326603661330067,0.3150496482849121,0.06448960304260254
500,1,0.0,0.0,1,1,1,20,0.09740163548559873,0.11360545331597151,0.3577766418457031,0.07429170608520508
500,1,0.0,0.0,1,1,1,21,0.11447813394643586,0.07202528746010542,0.3346998691558838,0.07086753845214844
500,1,0.0,0.0,1,1,1,22,0.1523499198707045,0.0700086468200941,0.3378570079803467,0.06488204002380371
500,1,0.0,0.0,1,1,1,23,0.10426954652817289,0.07581303915516573,0.33322787284851074,0.06406044960021973
500,1,0.0,0.0,1,1,1,24,0.11134527525905974,0.07484875577494506,0.3525254726409912,0.06304216384887695
500,1,0.44000000000000006,0.2,1,1,1,0,0.1078384385493166,0.069871907130771,0.4061315059661865,0.07586145401000977
500,1,0.44000000000000006,0.2,1,1,1,1,0.12380327327167437,0.1070080226680019,0.34966301918029785,0.06622004508972168
500,1,0.44000000000000006,0.2,1,1,1,2,0.10840465868943336,0.06643027014455101,0.33834171295166016,0.06450152397155762
500,1,0.44000000000000006,0.2,1,1,1,3,0.1144682769531088,0.07054231779632454,0.34700989723205566,0.06249094009399414
500,1,0.44000000000000006,0.2,1,1,1,4,0.12709105206822038,0.07261172132042816,0.31031036376953125,0.07679057121276855
500,1,0.44000000000000006,0.2,1,1,1,5,0.11730258439980414,0.09261657850260939,0.3929305076599121,0.07674741744995117
500,1,0.44000000000000006,0.2,1,1,1,6,0.10334529840817792,0.07003593044311944,0.38055896759033203,0.06404471397399902
500,1,0.44000000000000006,0.2,1,1,1,7,0.09507341829984144,0.07546873116113573,0.37703847885131836,0.07266020774841309
500,1,0.44000000000000006,0.2,1,1,1,8,0.10651834716490291,0.07825260756473627,0.4148435592651367,0.06608819961547852
500,1,0.44000000000000006,0.2,1,1,1,9,0.09818314603171055,0.06483330122473514,0.5314235687255859,0.09598231315612793
500,1,0.44000000000000006,0.2,1,1,1,10,0.10753572511494722,0.10674442716230081,0.5346963405609131,0.0900120735168457
500,1,0.44000000000000006,0.2,1,1,1,11,0.1187986524923525,0.08574943385207863,0.4933328628540039,0.09703969955444336
500,1,0.44000000000000006,0.2,1,1,1,12,0.11835413406636629,0.0757646623213164,0.4910471439361572,0.09699416160583496
500,1,0.44000000000000006,0.2,1,1,1,13,0.11871447838249855,0.08017370391583555,0.49215149879455566,0.10654425621032715
500,1,0.44000000000000006,0.2,1,1,1,14,0.11725632095170123,0.07705996732651467,0.6447601318359375,0.12615060806274414
500,1,0.44000000000000006,0.2,1,1,1,15,0.13306561100176112,0.08254949964091422,0.508432149887085,0.10346817970275879
500,1,0.44000000000000006,0.2,1,1,1,16,0.1175143683246861,0.07676518775438924,0.5018327236175537,0.09646081924438477
500,1,0.44000000000000006,0.2,1,1,1,17,0.0974270817826613,0.07413950591342616,0.49373674392700195,0.09954309463500977
500,1,0.44000000000000006,0.2,1,1,1,18,0.09876039866048841,0.07871675418516978,0.4821956157684326,0.09655880928039551
500,1,0.44000000000000006,0.2,1,1,1,19,0.11192005502946344,0.08907736251137506,0.5921332836151123,0.12109827995300293
500,1,0.44000000000000006,0.2,1,1,1,20,0.14465405203477133,0.09175517364550671,0.588395357131958,0.09568119049072266
500,1,0.44000000000000006,0.2,1,1,1,21,0.10417339778697829,0.06889790041960456,0.5277554988861084,0.09284138679504395
500,1,0.44000000000000006,0.2,1,1,1,22,0.11226626299781019,0.07674326875270855,0.5070397853851318,0.10664105415344238
500,1,0.44000000000000006,0.2,1,1,1,23,0.12093588492495323,0.08345387545198919,0.48882269859313965,0.09892654418945312
500,1,0.44000000000000006,0.2,1,1,1,24,0.11840308146965317,0.06962729580062343,0.501981258392334,0.0993492603302002
500,1,0.96,0.4,1,1,1,0,0.12440450195450316,0.08195060939335473,0.6369538307189941,0.13750410079956055
500,1,0.96,0.4,1,1,1,1,0.10683540948615768,0.0766364627066203,0.4979701042175293,0.10446429252624512
500,1,0.96,0.4,1,1,1,2,0.1411014809193042,0.09566341393260169,0.5988569259643555,0.12183260917663574
500,1,0.96,0.4,1,1,1,3,0.10848648035187262,0.1014618444567652,0.6439266204833984,0.12038326263427734
500,1,0.96,0.4,1,1,1,4,0.11619560833584086,0.10797845143414418,0.48824310302734375,0.11049294471740723
500,1,0.96,0.4,1,1,1,5,0.11375456869839468,0.1282802730291753,0.5780854225158691,0.12297773361206055
500,1,0.96,0.4,1,1,1,6,0.1276486736590705,0.08113660836627223,0.5897612571716309,0.10310220718383789
500,1,0.96,0.4,1,1,1,7,0.11208504640959903,0.09267475616143417,0.48399877548217773,0.11043095588684082
500,1,0.96,0.4,1,1,1,8,0.1079737528990172,0.09297428114879136,0.4818551540374756,0.10598134994506836
500,1,0.96,0.4,1,1,1,9,0.1131946558483412,0.0904364780065628,0.48231935501098633,0.12458062171936035
500,1,0.96,0.4,1,1,1,10,0.10503616297160089,0.09680585675577288,0.500554084777832,0.10909557342529297
500,1,0.96,0.4,1,1,1,11,0.13293701368267447,0.10384225459014117,0.6955909729003906,0.11962056159973145
500,1,0.96,0.4,1,1,1,12,0.11829945990759182,0.08725545464180738,0.49927449226379395,0.09950470924377441
500,1,0.96,0.4,1,1,1,13,0.12357883073427518,0.10394678717636366,0.47565245628356934,0.10059070587158203
500,1,0.96,0.4,1,1,1,14,0.13065217656251646,0.08932318857571617,0.48645567893981934,0.10566329956054688
500,1,0.96,0.4,1,1,1,15,0.10454221361767269,0.07441213073615761,0.4821288585662842,0.11340165138244629
500,1,0.96,0.4,1,1,1,16,0.1111833539381342,0.08979040515616137,0.4854013919830322,0.11037206649780273
500,1,0.96,0.4,1,1,1,17,0.1255821948481754,0.06717941001417757,0.6232426166534424,0.13595843315124512
500,1,0.96,0.4,1,1,1,18,0.13913307713297748,0.091251839687505,0.49556779861450195,0.0981593132019043
500,1,0.96,0.4,1,1,1,19,0.11644025848427225,0.0796372517612133,0.5041582584381104,0.0988626480102539
500,1,0.96,0.4,1,1,1,20,0.11522876708794579,0.08345616191232494,0.49774885177612305,0.09907174110412598
500,1,0.96,0.4,1,1,1,21,0.133859648697958,0.08338583602751957,0.4806489944458008,0.0986332893371582
500,1,0.96,0.4,1,1,1,22,0.11634861972333611,0.08117784115228789,0.5613288879394531,0.1167745590209961
500,1,0.96,0.4,1,1,1,23,0.12502118172362844,0.0709402470494432,0.708965539932251,0.11930131912231445
500,1,0.96,0.4,1,1,1,24,0.11527675431392759,0.07665769832921156,0.6312046051025391,0.11789703369140625
500,1,1.5600000000000003,0.6000000000000001,1,1,1,0,0.12620795803019724,0.1078031398648311,0.5405502319335938,0.09860396385192871
500,1,1.5600000000000003,0.6000000000000001,1,1,1,1,0.11272768278738955,0.10577847941043335,0.5215694904327393,0.09759831428527832
500,1,1.5600000000000003,0.6000000000000001,1,1,1,2,0.10819426200760054,0.09772239031103544,0.5027120113372803,0.09746718406677246
500,1,1.5600000000000003,0.6000000000000001,1,1,1,3,0.12846150300944917,0.09981465052536906,0.6086020469665527,0.1355745792388916
500,1,1.5600000000000003,0.6000000000000001,1,1,1,4,0.11434926739562166,0.10236519900782394,0.524085283279419,0.09651780128479004
500,1,1.5600000000000003,0.6000000000000001,1,1,1,5,0.11314539633133384,0.09922948578544712,0.5337514877319336,0.09353852272033691
500,1,1.5600000000000003,0.6000000000000001,1,1,1,6,0.11801328376581667,0.09447352453580525,0.486799955368042,0.10318899154663086
500,1,1.5600000000000003,0.6000000000000001,1,1,1,7,0.13299864909611267,0.12052946584345803,0.49025392532348633,0.09720158576965332
500,1,1.5600000000000003,0.6000000000000001,1,1,1,8,0.12749526880551446,0.09696614681625094,0.5704014301300049,0.11711311340332031
500,1,1.5600000000000003,0.6000000000000001,1,1,1,9,0.12876291715700872,0.09675250302465872,0.6347358226776123,0.10368919372558594
500,1,1.5600000000000003,0.6000000000000001,1,1,1,10,0.12959169921416835,0.09391114291355508,0.5156607627868652,0.10948395729064941
500,1,1.5600000000000003,0.6000000000000001,1,1,1,11,0.11635268983128937,0.11619592862941526,0.4994063377380371,0.09251213073730469
500,1,1.5600000000000003,0.6000000000000001,1,1,1,12,0.11820884516299476,0.1061639633764177,0.5141687393188477,0.09749889373779297
500,1,1.5600000000000003,0.6000000000000001,1,1,1,13,0.11102705688330199,0.09760859782906527,0.48601341247558594,0.10739517211914062
500,1,1.5600000000000003,0.6000000000000001,1,1,1,14,0.11517247084143019,0.11494627782414228,0.7114276885986328,0.1762378215789795
500,1,1.5600000000000003,0.6000000000000001,1,1,1,15,0.12156165777426216,0.09938804186273736,0.5069797039031982,0.09517121315002441
500,1,1.5600000000000003,0.6000000000000001,1,1,1,16,0.1213683169264507,0.0833903366043473,0.496734619140625,0.09702706336975098
500,1,1.5600000000000003,0.6000000000000001,1,1,1,17,0.10131457417179748,0.12259262878329182,0.49653196334838867,0.10176610946655273
500,1,1.5600000000000003,0.6000000000000001,1,1,1,18,0.10970844226049964,0.09408858424228603,0.48883581161499023,0.08853507041931152
500,1,1.5600000000000003,0.6000000000000001,1,1,1,19,0.1084124737482446,0.1108008573581584,0.7931671142578125,0.18285107612609863
500,1,1.5600000000000003,0.6000000000000001,1,1,1,20,0.1118918370737437,0.08975383882216718,0.6290297508239746,0.09683632850646973
500,1,1.5600000000000003,0.6000000000000001,1,1,1,21,0.10855186808535561,0.10178828888186563,0.5529792308807373,0.09682202339172363
500,1,1.5600000000000003,0.6000000000000001,1,1,1,22,0.11521835577480152,0.09698424922002291,0.6001589298248291,0.11212968826293945
500,1,1.5600000000000003,0.6000000000000001,1,1,1,23,0.11183705343019758,0.1098336066606986,0.6405067443847656,0.08855962753295898
500,1,1.5600000000000003,0.6000000000000001,1,1,1,24,0.1277985206104527,0.09363626614780464,0.6130104064941406,0.10249090194702148
500,1,2.2399999999999998,0.8,1,1,1,0,0.13891426924280664,0.11186870798124955,0.6802520751953125,0.09393763542175293
500,1,2.2399999999999998,0.8,1,1,1,1,0.12031625706117961,0.10613016387060771,0.5749175548553467,0.08696484565734863
500,1,2.2399999999999998,0.8,1,1,1,2,0.11268382927180436,0.12290265992062127,0.5747129917144775,0.10797905921936035
500,1,2.2399999999999998,0.8,1,1,1,3,0.11423252430988648,0.13395257769289512,0.575441837310791,0.11678051948547363
500,1,2.2399999999999998,0.8,1,1,1,4,0.11725558308300575,0.14351945082091838,0.6092872619628906,0.09113597869873047
500,1,2.2399999999999998,0.8,1,1,1,5,0.13691712545147702,0.11451006743297462,0.7506618499755859,0.15242266654968262
500,1,2.2399999999999998,0.8,1,1,1,6,0.12196407671933113,0.13607127546548578,0.5662238597869873,0.12914538383483887
500,1,2.2399999999999998,0.8,1,1,1,7,0.12333160621132039,0.1055982360809197,0.5793774127960205,0.10888028144836426
500,1,2.2399999999999998,0.8,1,1,1,8,0.13098830159823935,0.15003727857975027,0.5524332523345947,0.10950613021850586
500,1,2.2399999999999998,0.8,1,1,1,9,0.10853876248020683,0.13981799263988168,0.5748913288116455,0.10884881019592285
500,1,2.2399999999999998,0.8,1,1,1,10,0.12083470812856903,0.14586417712062968,0.6953094005584717,0.15281391143798828
500,1,2.2399999999999998,0.8,1,1,1,11,0.12427028661396593,0.11571065104613984,0.5683395862579346,0.10655593872070312
500,1,2.2399999999999998,0.8,1,1,1,12,0.12605919045824965,0.11992758674909498,0.574378490447998,0.10880565643310547
