n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,0.0,0.0,1,1,1,0,9.019323664388912e-15,1.319811913244136e-14,1.3362598419189453,0.18511271476745605
500,0.0,0.0,0.0,1,1,1,1,1.0706333851377756e-14,1.5033430317593963e-14,1.083068609237671,0.14744043350219727
500,0.0,0.0,0.0,1,1,1,2,1.1742708010262445e-14,2.3953045675415834e-14,0.9743239879608154,0.17989635467529297
500,0.0,0.0,0.0,1,1,1,3,8.009539715085931e-15,2.044378556792766e-14,1.3646771907806396,0.14757990837097168
500,0.0,0.0,0.0,1,1,1,4,8.820335894369969e-15,1.858189665791858e-14,0.5041928291320801,0.07600665092468262
500,0.0,0.0,0.0,1,1,1,5,4.641026939439471e-15,9.930757227133818e-15,0.3728368282318115,0.07449913024902344
500,0.0,0.0,0.0,1,1,1,6,8.954787086106591e-15,1.8458104707525324e-14,0.4191446304321289,0.07949185371398926
500,0.0,0.0,0.0,1,1,1,7,9.875087086371707e-15,1.0019109251294436e-14,0.3445606231689453,0.08752155303955078
500,0.0,0.0,0.0,1,1,1,8,6.667838889992956e-15,1.6413287273821033e-14,0.3568134307861328,0.08098864555358887
500,0.0,0.0,0.0,1,1,1,9,1.2624207643991313e-14,2.7433294179381545e-14,0.2943851947784424,0.054531097412109375
500,0.0,0.0,0.0,1,1,1,10,7.819100895265996e-15,1.588278710893358e-14,0.33716559410095215,0.07448363304138184
500,0.0,0.0,0.0,1,1,1,11,7.96016120872383e-15,8.074153716986702e-15,0.30940842628479004,0.07049727439880371
500,0.0,0.0,0.0,1,1,1,12,1.2631623145448814e-14,2.9121935081151597e-14,0.3005661964416504,0.0682220458984375
500,0.0,0.0,0.0,1,1,1,13,1.0733756930695691e-14,2.6610403905252075e-14,0.3025803565979004,0.061515092849731445
500,0.0,0.0,0.0,1,1,1,14,5.916822133298703e-15,8.13195736403482e-15,0.30259037017822266,0.06861567497253418
500,0.0,0.0,0.0,1,1,1,15,1.123452995667602e-14,3.5758532592114385e-14,0.30358219146728516,0.06255197525024414
500,0.0,0.0,0.0,1,1,1,16,1.027305995999102e-14,1.1044905767884262e-14,0.4027721881866455,0.08153557777404785
500,0.0,0.0,0.0,1,1,1,17,1.1265368647648887e-14,1.6718351577865557e-14,0.31876373291015625,0.07460689544677734
500,0.0,0.0,0.0,1,1,1,18,1.599882034979097e-14,3.078662660349532e-14,0.3028860092163086,0.062096595764160156
500,0.0,0.0,0.0,1,1,1,19,1.4303522909419144e-14,2.313103778402844e-14,0.3161196708679199,0.06949448585510254
500,0.0,0.0,0.0,1,1,1,20,1.2844194853700468e-14,1.1601830607332886e-14,0.3666541576385498,0.07200384140014648
500,0.0,0.0,0.0,1,1,1,21,1.2822745506644057e-14,1.759913618335601e-14,0.33965086936950684,0.06751132011413574
500,0.0,0.0,0.0,1,1,1,22,7.192283195361933e-15,1.1353082239732384e-14,0.3208160400390625,0.07577133178710938
500,0.0,0.0,0.0,1,1,1,23,8.74983240692537e-15,2.0585499726695028e-14,0.3975212574005127,0.08640503883361816
500,0.0,0.0,0.0,1,1,1,24,9.289709844651852e-15,1.3595586447615944e-14,0.4606754779815674,0.08820986747741699
500,0.2,0.44000000000000006,0.2,1,1,1,0,0.03928064332879629,0.03065351715211065,0.36939001083374023,0.07441854476928711
500,0.2,0.44000000000000006,0.2,1,1,1,1,0.036736935569953645,0.040720192259571714,0.36421775817871094,0.0725860595703125
500,0.2,0.44000000000000006,0.2,1,1,1,2,0.03769116728075163,0.03535383283069646,0.3519906997680664,0.0765221118927002
500,0.2,0.44000000000000006,0.2,1,1,1,3,0.037616973911889486,0.03480746435820826,0.3522791862487793,0.06900382041931152
500,0.2,0.44000000000000006,0.2,1,1,1,4,0.03397710288454951,0.02974771393093332,0.3482537269592285,0.07351040840148926
500,0.2,0.44000000000000006,0.2,1,1,1,5,0.036922088898787446,0.03912682234803436,0.3625779151916504,0.07351207733154297
500,0.2,0.44000000000000006,0.2,1,1,1,6,0.03459361848879013,0.03628973983032166,0.4084286689758301,0.08304190635681152
500,0.2,0.44000000000000006,0.2,1,1,1,7,0.034778500865828545,0.04172768573770541,0.3671424388885498,0.07549428939819336
500,0.2,0.44000000000000006,0.2,1,1,1,8,0.03825429242988203,0.040267333028681976,0.36409640312194824,0.07851696014404297
500,0.2,0.44000000000000006,0.2,1,1,1,9,0.032415686082823615,0.03051302395473358,0.35807037353515625,0.07551407814025879
500,0.2,0.44000000000000006,0.2,1,1,1,10,0.03530757577796317,0.028625828602463557,0.37369585037231445,0.08350896835327148
500,0.2,0.44000000000000006,0.2,1,1,1,11,0.032937689219463925,0.03860677602585,0.4085676670074463,0.08551359176635742
500,0.2,0.44000000000000006,0.2,1,1,1,12,0.04108763386358011,0.03677247947950631,0.42754054069519043,0.09249544143676758
500,0.2,0.44000000000000006,0.2,1,1,1,13,0.033633717958727834,0.05301824629808105,0.5921072959899902,0.09994840621948242
500,0.2,0.44000000000000006,0.2,1,1,1,14,0.037912452270663755,0.04029406201794383,0.42809581756591797,0.08733773231506348
500,0.2,0.44000000000000006,0.2,1,1,1,15,0.03316470260662858,0.03742251239982634,0.41466307640075684,0.08197283744812012
500,0.2,0.44000000000000006,0.2,1,1,1,16,0.039284412021188486,0.03477090343576849,0.4779524803161621,0.09151244163513184
500,0.2,0.44000000000000006,0.2,1,1,1,17,0.04011440273477536,0.04189365696762712,0.4436814785003662,0.0944972038269043
500,0.2,0.44000000000000006,0.2,1,1,1,18,0.03277431202929316,0.036471681196800006,0.48388075828552246,0.09751486778259277
500,0.2,0.44000000000000006,0.2,1,1,1,19,0.036657830701423706,0.03085341944402738,0.5015766620635986,0.10948705673217773
500,0.2,0.44000000000000006,0.2,1,1,1,20,0.03328393295433024,0.037777417417650005,0.8122615814208984,0.12603998184204102
500,0.2,0.44000000000000006,0.2,1,1,1,21,0.04122988374846606,0.03626976730324351,0.5292494297027588,0.1382739543914795
500,0.2,0.44000000000000006,0.2,1,1,1,22,0.03281064635046928,0.03633245973406156,0.5404927730560303,0.11301422119140625
500,0.2,0.44000000000000006,0.2,1,1,1,23,0.03919823345203129,0.030631407053089248,0.503101110458374,0.10852861404418945
500,0.2,0.44000000000000006,0.2,1,1,1,24,0.03483869750319656,0.03442484932454042,0.4934232234954834,0.1090390682220459
500,0.4,0.96,0.4,1,1,1,0,0.07866105932525307,0.05723066796522121,0.6203832626342773,0.12618803977966309
500,0.4,0.96,0.4,1,1,1,1,0.08078215949462088,0.058555243418311274,0.5152378082275391,0.11808252334594727
500,0.4,0.96,0.4,1,1,1,2,0.08091832321920014,0.08066343056500788,0.48436474800109863,0.10854935646057129
500,0.4,0.96,0.4,1,1,1,3,0.06288702019863075,0.07149574153754741,0.49935150146484375,0.11065411567687988
500,0.4,0.96,0.4,1,1,1,4,0.07512763833655972,0.07387251106270036,0.5384714603424072,0.11154675483703613
500,0.4,0.96,0.4,1,1,1,5,0.06709376884658268,0.05700596423384271,0.5195121765136719,0.12549853324890137
500,0.4,0.96,0.4,1,1,1,6,0.06730014390852478,0.06958642196189697,0.6081876754760742,0.15306329727172852
500,0.4,0.96,0.4,1,1,1,7,0.07816336750827817,0.06799773198349453,0.5262546539306641,0.11182856559753418
500,0.4,0.96,0.4,1,1,1,8,0.0711194833112688,0.08426458663705742,0.5037648677825928,0.1125328540802002
500,0.4,0.96,0.4,1,1,1,9,0.06961742137485986,0.06974425927084357,0.49213194847106934,0.11750245094299316
500,0.4,0.96,0.4,1,1,1,10,0.06592031273651898,0.07273736658200029,0.5443000793457031,0.10851907730102539
500,0.4,0.96,0.4,1,1,1,11,0.08949809096433801,0.09881040684177023,0.6752233505249023,0.14806485176086426
500,0.4,0.96,0.4,1,1,1,12,0.0646696634099978,0.07347423722916706,0.5591192245483398,0.11191487312316895
