n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_gerr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,2,0.0,0.0,1,1,1,0,0.39203405253679624,0.5288422341692737,0.8475458871456708,0.4500288963317871,0.08651185035705566
500,2,0.0,0.0,1,1,1,1,0.337804777576586,0.6292670017314197,0.8836192620467158,0.41413021087646484,0.0910484790802002
500,2,0.0,0.0,1,1,1,2,0.36006077059262365,0.4346720790580971,0.7839100409462159,0.6097867488861084,0.15319514274597168
500,2,0.0,0.0,1,1,1,3,0.3229672877170081,0.5377804816332359,0.8190654518105883,0.5673041343688965,0.13913750648498535
500,2,0.0,0.0,1,1,1,4,0.38836243349870364,0.4917904901661486,0.7869399929241359,0.5542337894439697,0.15271973609924316
500,2,0.0,0.0,1,1,1,5,0.39584178114110086,0.4994982853312737,0.7203493507097031,0.7219266891479492,0.16676712036132812
500,2,0.0,0.0,1,1,1,6,0.3543384099325539,0.646867380653899,0.9813462748162896,0.6805424690246582,0.19172930717468262
500,2,0.0,0.0,1,1,1,7,0.3116618597540398,0.5632496788907448,0.8749115386447847,0.9148790836334229,0.15825295448303223
500,2,0.0,0.0,1,1,1,8,0.3953237526443277,0.5728579416307142,0.8923131454638338,0.7542469501495361,0.16706538200378418
500,2,0.0,0.0,1,1,1,9,0.38414447105576643,0.7243256687626112,1.0184004599637353,0.8694121837615967,0.1872389316558838
500,2,0.0,0.0,1,1,1,10,0.3118315475414628,0.47739879733505686,0.7536805274590987,0.8034205436706543,0.3110511302947998
500,2,0.0,0.0,1,1,1,11,0.4064728704435913,0.578521369657114,0.8766445217295512,0.44686055183410645,0.08006429672241211
500,2,0.0,0.0,1,1,1,12,0.3336556151372516,0.4922203444963085,0.7151729938296104,0.624946117401123,0.1479649543762207
500,2,0.0,0.0,1,1,1,13,0.4205958987176913,0.5232634472416677,0.8270240201898014,0.7805826663970947,0.16636967658996582
500,2,0.0,0.0,1,1,1,14,0.36131386795513365,0.5477343776264151,0.8401282397980012,0.7899525165557861,0.15932965278625488
500,2,0.0,0.0,1,1,1,15,0.3662385023386463,0.6069415147800595,0.9251808728540463,0.6936733722686768,0.14072513580322266
500,2,0.0,0.0,1,1,1,16,0.393321979467544,0.49506220919885824,0.78677271145701,0.7324740886688232,0.13499021530151367
500,2,0.0,0.0,1,1,1,17,0.38525759355827605,0.5359130127892616,0.9211706063475377,1.2426908016204834,0.1973252296447754
