n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,0.0,0.0,1,1,1,0,2.265384705801855e-14,1.8209349938351744e-14,0.34160757064819336,0.06452369689941406
500,0.0,0.0,0.0,1,1,1,1,8.343597949014156e-15,1.3495947074753412e-14,0.33423423767089844,0.06503415107727051
500,0.0,0.0,0.0,1,1,1,2,1.0393490280396778e-14,1.1383441027834916e-14,0.32238197326660156,0.058504581451416016
500,0.0,0.0,0.0,1,1,1,3,1.7676815536888565e-14,1.291681390491649e-14,0.3145885467529297,0.06151294708251953
500,0.0,0.0,0.0,1,1,1,4,8.631778329353469e-15,1.6050308076832566e-14,0.31356120109558105,0.05600309371948242
500,0.0,0.0,0.0,1,1,1,5,1.265502831132939e-14,1.942858572177229e-14,0.31934547424316406,0.056488990783691406
500,0.0,0.0,0.0,1,1,1,6,1.0461136835591338e-14,1.5855699013936038e-14,0.3235926628112793,0.06003880500793457
500,0.0,0.0,0.0,1,1,1,7,1.1365865852531451e-14,1.8381484882007617e-14,0.3659212589263916,0.05999922752380371
500,0.0,0.0,0.0,1,1,1,8,9.585011400311941e-15,1.3003390904892616e-14,0.31238389015197754,0.06049656867980957
500,0.0,0.0,0.0,1,1,1,9,1.1876638049041397e-14,2.433693958576655e-14,0.30766844749450684,0.05598306655883789
500,0.0,0.0,0.0,1,1,1,10,1.030371306851843e-14,1.5468399183976607e-14,0.3185551166534424,0.060492753982543945
500,0.0,0.0,0.0,1,1,1,11,1.3708922462733522e-14,1.2728715753073335e-14,0.31097865104675293,0.06748700141906738
500,0.0,0.0,0.0,1,1,1,12,1.3000813538520555e-14,1.6416290894904615e-14,0.3195793628692627,0.05498051643371582
500,0.0,0.0,0.0,1,1,1,13,1.4506085893333394e-14,1.8879015274642064e-14,0.3157460689544678,0.05548858642578125
500,0.0,0.0,0.0,1,1,1,14,1.6512147447621234e-14,1.923987993140705e-14,0.37258148193359375,0.07351064682006836
500,0.0,0.0,0.0,1,1,1,15,1.0073562973981954e-14,1.9890041326461276e-14,0.38065624237060547,0.081634521484375
500,0.0,0.0,0.0,1,1,1,16,1.186285902234136e-14,2.0626258675460438e-14,0.3141622543334961,0.06097984313964844
500,0.0,0.0,0.0,1,1,1,17,1.215139607634871e-14,1.612271671344403e-14,0.35309624671936035,0.07151460647583008
500,0.0,0.0,0.0,1,1,1,18,1.1864622413376147e-14,1.9596065396082108e-14,0.39841175079345703,0.07352519035339355
500,0.0,0.0,0.0,1,1,1,19,1.4592353649575534e-14,1.5512958450888242e-14,0.30256009101867676,0.056508779525756836
500,0.0,0.0,0.0,1,1,1,20,8.903685859823203e-15,1.127248889424075e-14,0.32339000701904297,0.07298541069030762
500,0.0,0.0,0.0,1,1,1,21,1.44694956204555e-14,2.7081378402335048e-14,0.3360919952392578,0.06900286674499512
500,0.0,0.0,0.0,1,1,1,22,1.4866421087610363e-14,2.3032780091884923e-14,0.39743876457214355,0.07151341438293457
500,0.0,0.0,0.0,1,1,1,23,1.4678265284517336e-14,2.012690738247269e-14,0.3359718322753906,0.06299924850463867
500,0.0,0.0,0.0,1,1,1,24,1.2458118791990215e-14,1.7512338589015242e-14,0.3015468120574951,0.06300115585327148
500,0.2,0.44000000000000006,0.2,1,1,1,0,0.02652739944377681,0.027814969988948276,0.33719825744628906,0.061983585357666016
500,0.2,0.44000000000000006,0.2,1,1,1,1,0.024782937071283956,0.032698095534815584,0.3344550132751465,0.05951547622680664
500,0.2,0.44000000000000006,0.2,1,1,1,2,0.024406416700625773,0.025661194954951724,0.34430861473083496,0.06699419021606445
500,0.2,0.44000000000000006,0.2,1,1,1,3,0.02473786327477814,0.029461297419789697,0.337451696395874,0.056186676025390625
500,0.2,0.44000000000000006,0.2,1,1,1,4,0.025877459958008338,0.02581735161442187,0.4031200408935547,0.07552528381347656
500,0.2,0.44000000000000006,0.2,1,1,1,5,0.03093916223292532,0.023510401052477623,0.31254053115844727,0.07069015502929688
500,0.2,0.44000000000000006,0.2,1,1,1,6,0.023054390238801754,0.030978660987140156,0.33377885818481445,0.06400156021118164
500,0.2,0.44000000000000006,0.2,1,1,1,7,0.02462131619032077,0.028547438480743235,0.3188471794128418,0.06351470947265625
500,0.2,0.44000000000000006,0.2,1,1,1,8,0.02884012904330413,0.02775563607408816,0.33614516258239746,0.056980133056640625
500,0.2,0.44000000000000006,0.2,1,1,1,9,0.025271838701802097,0.02793201004959669,0.34859681129455566,0.06151270866394043
500,0.2,0.44000000000000006,0.2,1,1,1,10,0.02692111694307126,0.02508696609126293,0.332078218460083,0.05697917938232422
500,0.2,0.44000000000000006,0.2,1,1,1,11,0.024130336907892912,0.0289892178286664,0.4111168384552002,0.10752391815185547
500,0.2,0.44000000000000006,0.2,1,1,1,12,0.023163710899492023,0.03213271467540713,0.581209659576416,0.13151884078979492
500,0.2,0.44000000000000006,0.2,1,1,1,13,0.02645642308388339,0.02715773913847626,0.4439737796783447,0.09351873397827148
500,0.2,0.44000000000000006,0.2,1,1,1,14,0.024620661505448505,0.030859377347242936,0.49397802352905273,0.09751486778259277
500,0.2,0.44000000000000006,0.2,1,1,1,15,0.0228214450369177,0.027528807319602017,0.48363232612609863,0.1075284481048584
500,0.2,0.44000000000000006,0.2,1,1,1,16,0.022755219624119718,0.03167326011729832,0.4881112575531006,0.08953142166137695
500,0.2,0.44000000000000006,0.2,1,1,1,17,0.025606878156226125,0.025820603410034323,0.5006487369537354,0.12049746513366699
500,0.2,0.44000000000000006,0.2,1,1,1,18,0.027928793883310713,0.026753715609873698,0.6984562873840332,0.16960620880126953
500,0.2,0.44000000000000006,0.2,1,1,1,19,0.02302377117347926,0.02719646431792398,0.5613343715667725,0.12765908241271973
500,0.2,0.44000000000000006,0.2,1,1,1,20,0.02536456673981045,0.032226142826009205,0.4866197109222412,0.10251569747924805
500,0.2,0.44000000000000006,0.2,1,1,1,21,0.022069166338936293,0.03376555071262898,0.4674708843231201,0.08853340148925781
500,0.2,0.44000000000000006,0.2,1,1,1,22,0.022661937446603764,0.02608731313529797,0.45415663719177246,0.10229873657226562
500,0.2,0.44000000000000006,0.2,1,1,1,23,0.02286653784003074,0.02826080063731144,0.542536735534668,0.11867284774780273
500,0.2,0.44000000000000006,0.2,1,1,1,24,0.0241106629157623,0.02669100688568162,0.4204254150390625,0.0845186710357666
500,0.4,0.96,0.4,1,1,1,0,0.0478428167719889,0.06016553935961994,0.44240641593933105,0.08151388168334961
500,0.4,0.96,0.4,1,1,1,1,0.05374341865803545,0.060806498091323484,0.3972811698913574,0.07958078384399414
500,0.4,0.96,0.4,1,1,1,2,0.05490853201184496,0.07035878186689173,0.3661069869995117,0.07450628280639648
500,0.4,0.96,0.4,1,1,1,3,0.052005580347768754,0.05959524102622413,0.39879393577575684,0.07251501083374023
500,0.4,0.96,0.4,1,1,1,4,0.04732641374848599,0.059265430998497265,0.5244753360748291,0.09751749038696289
500,0.4,0.96,0.4,1,1,1,5,0.04766871442818724,0.06008508290432578,0.38840365409851074,0.07398533821105957
500,0.4,0.96,0.4,1,1,1,6,0.051951049397838935,0.05409855497694085,0.3657984733581543,0.07302284240722656
500,0.4,0.96,0.4,1,1,1,7,0.04840288134846383,0.05860219908272166,0.3636612892150879,0.0665132999420166
500,0.4,0.96,0.4,1,1,1,8,0.0480289155954539,0.060120684905714816,0.3510863780975342,0.07150983810424805
