n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_gerr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,3,1,1,1,1,0,7.011854432693933e-15,0.12168290295458382,0.12168290295458822,0.35915446281433105,0.08405852317810059
500,0.0,3,1,1,1,1,1,7.55262822419197e-15,0.13209402834017786,0.1320940283401832,0.30295252799987793,0.07626795768737793
500,0.0,3,1,1,1,1,2,1.0114672627033719e-14,0.12267286113568654,0.12267286113569222,0.2952280044555664,0.07201600074768066
500,0.0,3,1,1,1,1,3,6.147280425099447e-15,0.1437752526417236,0.1437752526417291,0.3926868438720703,0.08014655113220215
500,0.0,3,1,1,1,1,4,5.821347397506396e-15,0.12100628550108704,0.12100628550109127,0.3701033592224121,0.0780034065246582
500,0.0,3,1,1,1,1,5,1.008314940628735e-14,0.12058159737158554,0.1205815973715917,0.30156874656677246,0.07503032684326172
500,0.0,3,1,1,1,1,6,6.310446199466859e-15,0.12031391311636933,0.12031391311637296,0.3548426628112793,0.0765235424041748
500,0.0,3,1,1,1,1,7,1.6110772819020336e-14,0.14928088239570989,0.14928088239571802,0.3256111145019531,0.07384586334228516
500,0.0,3,1,1,1,1,8,1.3570023163756977e-14,0.12913069560896634,0.12913069560897497,0.3616349697113037,0.07856488227844238
500,0.0,3,1,1,1,1,9,1.6646867808629664e-14,0.12626627881207514,0.12626627881208372,0.3103952407836914,0.07948541641235352
500,0.0,3,1,1,1,1,10,1.0949108459700423e-14,0.1183723992610887,0.1183723992610927,0.2955772876739502,0.07551980018615723
500,0.0,3,1,1,1,1,11,7.935672808602307e-15,0.14863498867423647,0.14863498867423908,0.42171216011047363,0.07251739501953125
500,0.0,3,1,1,1,1,12,1.0415859900952044e-14,0.13245508578407966,0.13245508578408796,0.374190092086792,0.07149982452392578
500,0.0,3,1,1,1,1,13,6.78690513370569e-15,0.1329544931782874,0.1329544931782926,0.3065948486328125,0.07551836967468262
500,0.0,3,1,1,1,1,14,1.5035281390427853e-14,0.12300738777121965,0.12300738777123256,0.35778093338012695,0.07670235633850098
500,0.0,3,1,1,1,1,15,1.3274022425214366e-14,0.12778816157870765,0.12778816157871273,0.3280923366546631,0.07786440849304199
500,0.0,3,1,1,1,1,16,4.359638967341694e-15,0.11365040168628317,0.11365040168628605,0.31091904640197754,0.07551741600036621
500,0.0,3,1,1,1,1,17,8.65182129604979e-15,0.12318302639669876,0.12318302639670346,0.3397188186645508,0.07352066040039062
500,0.0,3,1,1,1,1,18,1.0286539858502858e-14,0.12374601775104774,0.12374601775105663,0.39473795890808105,0.08156061172485352
500,0.0,3,1,1,1,1,19,8.571935559619066e-15,0.16237316224957332,0.16237316224958045,0.3197762966156006,0.07951998710632324
500,0.0,3,1,1,1,1,20,1.0918926681242158e-14,0.13975807742562776,0.1397580774256355,0.3528602123260498,0.07428216934204102
500,0.0,3,1,1,1,1,21,5.564992910933597e-15,0.10748777906950752,0.10748777906951021,0.31850361824035645,0.07512307167053223
500,0.0,3,1,1,1,1,22,1.2206269781784588e-14,0.15822977481095557,0.15822977481096376,0.319896936416626,0.07551360130310059
500,0.0,3,1,1,1,1,23,6.996662584863926e-15,0.12288138756596505,0.1228813875659685,0.3587055206298828,0.07449531555175781
500,0.0,3,1,1,1,1,24,5.231981219917046e-15,0.11293781565800483,0.11293781565800866,0.3248274326324463,0.07440042495727539
500,0.5,3,1,1,1,1,0,0.08334857411460865,0.16492276022353725,0.22810421829184066,0.3770735263824463,0.08452129364013672
500,0.5,3,1,1,1,1,1,0.08516241685750156,0.15606636667530754,0.21399296594475675,0.39621853828430176,0.08051228523254395
500,0.5,3,1,1,1,1,2,0.08551024608728715,0.12840846878495357,0.18644417013934533,0.40885353088378906,0.07899188995361328
500,0.5,3,1,1,1,1,3,0.08415168127809088,0.13874967383066567,0.19329148178208463,0.3687472343444824,0.08450746536254883
500,0.5,3,1,1,1,1,4,0.09813130880704637,0.12993506480439046,0.18118283914901034,0.535132884979248,0.12375044822692871
500,0.5,3,1,1,1,1,5,0.09638385850808981,0.14378378012716703,0.1879273861752211,0.6493008136749268,0.15914463996887207
500,0.5,3,1,1,1,1,6,0.082774760774341,0.14322913859126077,0.17799701435302653,0.7224698066711426,0.15587759017944336
500,0.5,3,1,1,1,1,7,0.08052757975952145,0.12584937208578828,0.1986029264972104,0.600942850112915,0.1300809383392334
500,0.5,3,1,1,1,1,8,0.08839272951901468,0.12880282122531062,0.18345053570292824,0.5145852565765381,0.1051948070526123
500,0.5,3,1,1,1,1,9,0.0828681071634919,0.1264105271432972,0.1878498863672613,0.5021638870239258,0.10632610321044922
500,0.5,3,1,1,1,1,10,0.08500191654589555,0.12626756559642854,0.18001197735260288,0.5115799903869629,0.10709452629089355
500,0.5,3,1,1,1,1,11,0.08253318859388321,0.1368985955873291,0.1919561997079983,0.5242822170257568,0.1411573886871338
500,0.5,3,1,1,1,1,12,0.07919426374405251,0.13662104484773285,0.19234218552750065,0.6294479370117188,0.11877179145812988
500,0.5,3,1,1,1,1,13,0.08539697036840442,0.13245900523690562,0.17309676871493596,0.5513732433319092,0.12050199508666992
500,0.5,3,1,1,1,1,14,0.0851517970096335,0.14260990386719863,0.19938009857256805,0.5051696300506592,0.10906338691711426
500,0.5,3,1,1,1,1,15,0.08010865231394718,0.1352649813883311,0.180127610425556,0.599085807800293,0.1275193691253662
500,0.5,3,1,1,1,1,16,0.09627190454343013,0.12524618975672647,0.1772408945908091,0.5785837173461914,0.1265115737915039
500,0.5,3,1,1,1,1,17,0.08830889492551063,0.16308900049585925,0.21179637295531595,0.7114548683166504,0.12649893760681152
500,0.5,3,1,1,1,1,18,0.07977240159823226,0.1315261507324439,0.18421907053595235,0.5848901271820068,0.11275982856750488
500,0.5,3,1,1,1,1,19,0.09642495139397812,0.11988022640101778,0.1880554375063218,0.5761489868164062,0.12760329246520996
500,0.5,3,1,1,1,1,20,0.08954653700540433,0.11882407821656357,0.20138560218588894,0.5700845718383789,0.29848456382751465
500,0.5,3,1,1,1,1,21,0.0915129988277976,0.1359257232899253,0.20629579221860098,0.8968329429626465,0.1605546474456787
500,0.5,3,1,1,1,1,22,0.09841798986869942,0.1573234550725112,0.2330459052307426,1.1372830867767334,0.1676011085510254
500,0.5,3,1,1,1,1,23,0.08054957098716187,0.139688497691819,0.19003156543670588,0.9602065086364746,0.17463445663452148
500,0.5,3,1,1,1,1,24,0.08325632691942544,0.173224708078016,0.2554731393702807,0.9579033851623535,0.16806697845458984
500,1.0,3,1,1,1,1,0,0.15667840979678097,0.18151234893366622,0.3158658657581803,0.7461342811584473,0.13951754570007324
500,1.0,3,1,1,1,1,1,0.16588787987504025,0.15814905573961674,0.3032395408454628,0.7210907936096191,0.12252616882324219
500,1.0,3,1,1,1,1,2,0.1600829452117473,0.1520289966692613,0.2788984960613131,0.7016644477844238,0.1610884666442871
500,1.0,3,1,1,1,1,3,0.18214944543895398,0.19982553972515973,0.37689791681239626,0.9218912124633789,0.16682648658752441
500,1.0,3,1,1,1,1,4,0.14826518599138636,0.16648767994218444,0.29893559439838013,0.698993444442749,0.18854570388793945
500,1.0,3,1,1,1,1,5,0.19402374486665988,0.22866930964433457,0.4226930545109945,0.6446585655212402,0.1300671100616455
500,1.0,3,1,1,1,1,6,0.16069043807451888,0.14784271806895147,0.268643660772052,0.6670429706573486,0.15186095237731934
500,1.0,3,1,1,1,1,7,0.18330284281155426,0.19595403850492357,0.34863047882170417,1.279360294342041,0.18608999252319336
500,1.0,3,1,1,1,1,8,0.18623972950018183,0.18823216089691047,0.3476500821464139,0.5701525211334229,0.11120867729187012
500,1.0,3,1,1,1,1,9,0.19028072010485944,0.18872404756762298,0.35620567274568815,0.583383321762085,0.11803030967712402
500,1.0,3,1,1,1,1,10,0.15912208025737948,0.1757998909804419,0.29801015834409994,0.5293583869934082,0.09850692749023438
500,1.0,3,1,1,1,1,11,0.19311413513606468,0.1609395180808771,0.31650491598772457,0.7560570240020752,0.15552258491516113
500,1.0,3,1,1,1,1,12,0.1645011742782381,0.18085142489744666,0.2843374593653721,0.5840392112731934,0.12248897552490234
500,1.0,3,1,1,1,1,13,0.18026197697089158,0.20188413220423304,0.35067430850299447,0.5272114276885986,0.1135246753692627
500,1.0,3,1,1,1,1,14,0.1726938464259091,0.2098073221025658,0.3529179528675755,0.5138425827026367,0.12285947799682617
500,1.0,3,1,1,1,1,15,0.16480678801934798,0.1631816483396405,0.32297745785506016,0.5456898212432861,0.12455034255981445
500,1.0,3,1,1,1,1,16,0.20093872959450154,0.14873892014281676,0.28823635843284834,0.6349327564239502,0.15732049942016602
500,1.0,3,1,1,1,1,17,0.16530324276868624,0.2201211468016079,0.33514049942873636,0.542832612991333,0.11404085159301758
500,1.0,3,1,1,1,1,18,0.21015210797497486,0.16142260294887198,0.2924221039460503,0.5343360900878906,0.1105191707611084
500,1.0,3,1,1,1,1,19,0.1622325648334351,0.20242428816071492,0.3299016269628367,0.5356044769287109,0.11503243446350098
500,1.0,3,1,1,1,1,20,0.19115956977680093,0.16618078645102477,0.316568072149058,0.5411171913146973,0.12633395195007324
500,1.0,3,1,1,1,1,21,0.16085775723318882,0.24433035107072706,0.4021436074456607,0.5331804752349854,0.11952328681945801
500,1.0,3,1,1,1,1,22,0.16215487272744886,0.15228159117291917,0.26934885276848075,0.646296501159668,0.11151123046875
500,1.0,3,1,1,1,1,23,0.17336166169341127,0.173828428104114,0.3335354767512147,0.5218145847320557,0.11980867385864258
500,1.0,3,1,1,1,1,24,0.17915656741924552,0.16442250142434073,0.30571203820700277,0.5235507488250732,0.11151933670043945
500,1.5,3,1,1,1,1,0,0.2664514997172656,0.22164541713204194,0.3981769229001578,0.5250470638275146,0.12003898620605469
500,1.5,3,1,1,1,1,1,0.3172779815252476,0.21683720759733816,0.5294926781377678,0.5352497100830078,0.12364339828491211
500,1.5,3,1,1,1,1,2,0.25238509739706005,0.25877536893221886,0.4352324708862174,0.9331390857696533,0.1735994815826416
500,1.5,3,1,1,1,1,3,0.2479412143137494,0.2123943970833192,0.4411931526993929,0.6121861934661865,0.12204575538635254
500,1.5,3,1,1,1,1,4,0.28141957337787554,0.22307862918331756,0.4561084708484832,0.5800876617431641,0.10851883888244629
500,1.5,3,1,1,1,1,5,0.2566687890687025,0.2088540699157498,0.40371420438785144,0.5351991653442383,0.11150932312011719
500,1.5,3,1,1,1,1,6,0.26146722965510855,0.2146203189039909,0.4177376861369,0.5400612354278564,0.1335434913635254
500,1.5,3,1,1,1,1,7,0.3171974906181834,0.28996847515939894,0.6071659657775823,0.7995188236236572,0.16183781623840332
500,1.5,3,1,1,1,1,8,0.24016355370831835,0.24696973369370923,0.4393681953013939,0.5363292694091797,0.11556363105773926
500,1.5,3,1,1,1,1,9,0.2567672303937181,0.1931088007910205,0.41896971325805366,0.52457594871521,0.12251877784729004
500,1.5,3,1,1,1,1,10,0.25764605693028964,0.215823002756146,0.4405199711441129,0.5726034641265869,0.12854385375976562
500,1.5,3,1,1,1,1,11,0.3249498225672515,0.23960791376561846,0.4467724541009782,0.6004703044891357,0.1195223331451416
500,1.5,3,1,1,1,1,12,0.30122055671061737,0.22954220278612403,0.48731556763276745,0.7684860229492188,0.15957403182983398
500,1.5,3,1,1,1,1,13,0.2638138395978569,0.2568502632886655,0.5206641028865224,0.5318660736083984,0.11737751960754395
500,1.5,3,1,1,1,1,14,0.287457523367873,0.2516575390186429,0.539115062386516,0.5925638675689697,0.11168360710144043
500,1.5,3,1,1,1,1,15,0.3351285783435126,0.24210694042945843,0.5256150669526217,0.5957183837890625,0.11307859420776367
500,1.5,3,1,1,1,1,16,0.25252415466682077,0.2515069307272211,0.46723009442944285,0.5523762702941895,0.12031769752502441
500,1.5,3,1,1,1,1,17,0.26514110613757724,0.20483365801182293,0.44773825575900894,0.7369918823242188,0.15516185760498047
500,1.5,3,1,1,1,1,18,0.2561252783540579,0.27824819847032645,0.5290108069704338,0.5848398208618164,0.10951733589172363
500,1.5,3,1,1,1,1,19,0.26374689212670316,0.24386715913822177,0.507614051264925,0.5658478736877441,0.11231112480163574
500,1.5,3,1,1,1,1,20,0.250855309031522,0.2892007509727207,0.4876743287599781,0.5428636074066162,0.11651325225830078
500,1.5,3,1,1,1,1,21,0.24130533098465065,0.24403481477926622,0.4739294191388177,0.7907078266143799,0.15716195106506348
500,1.5,3,1,1,1,1,22,0.2488731523981144,0.25149425270875736,0.4575847146769021,0.7578949928283691,0.161529541015625
500,1.5,3,1,1,1,1,23,0.24070924921617654,0.25538214526909314,0.44626147432686647,0.598330020904541,0.10651564598083496
500,1.5,3,1,1,1,1,24,0.24078539608642144,0.20363454271432924,0.42380526734862395,0.5785722732543945,0.10752558708190918
500,2.0,3,1,1,1,1,0,0.3249274136315449,0.2803972440891962,0.5710975455908113,0.5857114791870117,0.11437416076660156
500,2.0,3,1,1,1,1,1,0.4069209562033076,0.27207786996747674,0.5436061515721572,0.49529147148132324,0.11555790901184082
500,2.0,3,1,1,1,1,2,0.336288917749886,0.31858422711105255,0.6429373607417574,0.7124130725860596,0.1532912254333496
500,2.0,3,1,1,1,1,3,0.36098359925498635,0.29757173744746107,0.6173759814747963,0.5939028263092041,0.11551332473754883
500,2.0,3,1,1,1,1,4,0.3451305355205989,0.2701968218999508,0.5831210196010406,0.5460515022277832,0.11151695251464844
500,2.0,3,1,1,1,1,5,0.43666375267867535,0.3092476334693466,0.5759189925696052,0.5336306095123291,0.11955142021179199
500,2.0,3,1,1,1,1,6,0.40196957852489656,0.3114738889983404,0.6674909263604645,0.531702995300293,0.10903072357177734
500,2.0,3,1,1,1,1,7,0.37364206357175594,0.27878614559762604,0.6032191218108157,0.5253686904907227,0.1436934471130371
500,2.0,3,1,1,1,1,8,0.37992913478977475,0.3080888318497108,0.5988649612637669,0.6054751873016357,0.1110374927520752
500,2.0,3,1,1,1,1,9,0.3472396708815741,0.2706301209199474,0.5132060253610489,0.575312614440918,0.11204719543457031
500,2.0,3,1,1,1,1,10,0.32270981885955835,0.29733515011329,0.5838105279530628,0.5122957229614258,0.11903119087219238
500,2.0,3,1,1,1,1,11,0.366485602613975,0.2891502912724281,0.5549739011388116,0.5826785564422607,0.10749959945678711
500,2.0,3,1,1,1,1,12,0.3707714377721876,0.3004829760294467,0.5955917101272549,0.5074896812438965,0.1188821792602539
500,2.0,3,1,1,1,1,13,0.3716626462674596,0.34859847482103257,0.640472736091322,0.7541162967681885,0.15648531913757324
500,2.0,3,1,1,1,1,14,0.3672779286490928,0.43752353340091826,0.7905070059734609,0.5907375812530518,0.11153388023376465
500,2.0,3,1,1,1,1,15,0.35545124718365206,0.30229233801283717,0.5905082222241229,0.52956223487854,0.11903595924377441
500,2.0,3,1,1,1,1,16,0.36098418129786847,0.31607691470355265,0.6493152979100507,0.6883499622344971,0.12803888320922852
500,2.0,3,1,1,1,1,17,0.3504530610716026,0.3049356217624003,0.569888218733887,0.6162211894989014,0.10850906372070312
500,2.0,3,1,1,1,1,18,0.34351655795076214,0.2635596916958214,0.5644406237021193,0.7719836235046387,0.16206884384155273
500,2.0,3,1,1,1,1,19,0.4304213570447524,0.3682372333270506,0.6661021857957841,0.5489640235900879,0.12151980400085449
500,2.0,3,1,1,1,1,20,0.3218544123713367,0.2853594775061358,0.5382767453531645,0.6113150119781494,0.12242388725280762
500,2.0,3,1,1,1,1,21,0.3877601178024446,0.31187787542396855,0.6183144997686078,0.6012365818023682,0.12104415893554688
500,2.0,3,1,1,1,1,22,0.32172939730918854,0.2680546116534746,0.5713503241477652,0.5561666488647461,0.11452054977416992
500,2.0,3,1,1,1,1,23,0.39190835710711147,0.30920484545471444,0.6276854928934681,0.7822244167327881,0.16209936141967773
500,2.0,3,1,1,1,1,24,0.3792745921111198,0.2980199266087726,0.6195147479670826,0.5777332782745361,0.11444592475891113
