n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,15,3,1,1,1,0,0.26135718880175907,0.39976094996893563,0.42650604248046875,0.07403230667114258
500,0.0,15,3,1,1,1,1,0.2084393391825732,0.4192948111010067,0.3897829055786133,0.0745699405670166
500,0.0,15,3,1,1,1,2,0.19824221695406974,0.3720606900004264,0.3706812858581543,0.06389856338500977
500,0.0,15,3,1,1,1,3,0.25961415053912307,0.44985979103310475,0.3687312602996826,0.06341147422790527
500,0.0,15,3,1,1,1,4,0.1981985574700649,0.39782494622430553,0.3269228935241699,0.071502685546875
500,0.0,15,3,1,1,1,5,0.22766018092444024,0.4068976125642465,0.3268399238586426,0.0658721923828125
500,0.0,15,3,1,1,1,6,0.2150618555527393,0.34992770212235125,0.36208248138427734,0.06598114967346191
500,0.0,15,3,1,1,1,7,0.28190459949738694,0.4571193035848832,0.40298032760620117,0.08746671676635742
500,0.0,15,3,1,1,1,8,0.2752218823402129,0.6470646864201458,0.33315253257751465,0.06599974632263184
500,0.0,15,3,1,1,1,9,0.20557442192892617,0.3972636373434682,0.3355824947357178,0.06697702407836914
500,0.0,15,3,1,1,1,10,0.23210856193193224,0.3522807664384414,0.3574950695037842,0.06398868560791016
500,0.0,15,3,1,1,1,11,0.2370191942100329,0.4559065022315287,0.34324097633361816,0.06667637825012207
500,0.0,15,3,1,1,1,12,0.19626917192603927,0.37868204443378534,0.3455061912536621,0.06768369674682617
500,0.0,15,3,1,1,1,13,0.2577957431462376,0.4081985198297385,0.35996055603027344,0.06401729583740234
500,0.0,15,3,1,1,1,14,0.21370026021410404,0.3849763112966367,0.3393514156341553,0.06503152847290039
500,0.0,15,3,1,1,1,15,0.2982272210156778,0.4144523081599466,0.4156527519226074,0.08386015892028809
500,0.0,15,3,1,1,1,16,0.18349981883640418,0.36420700165844816,0.3340632915496826,0.0644066333770752
500,0.0,15,3,1,1,1,17,0.21006338511695918,0.3764520432806582,0.31958627700805664,0.06351184844970703
500,0.0,15,3,1,1,1,18,0.2013637856153809,0.3688396951167904,0.33005452156066895,0.06350898742675781
500,0.0,15,3,1,1,1,19,0.26852344220317437,0.5068296803706847,0.3120591640472412,0.06710314750671387
500,0.0,15,3,1,1,1,20,0.21553659550393944,0.48640969992955674,0.368776798248291,0.06198287010192871
500,0.0,15,3,1,1,1,21,0.23478082207980713,0.36207435910494307,0.33304381370544434,0.07050561904907227
500,0.0,15,3,1,1,1,22,0.2568043971016284,0.3970904395954664,0.41614270210266113,0.07350707054138184
500,0.0,15,3,1,1,1,23,0.2123748597591256,0.38810482972658117,0.34462785720825195,0.06249499320983887
500,0.0,15,3,1,1,1,24,0.20719177929141694,0.4561499182752521,0.33013057708740234,0.06409215927124023
500,0.2,15,3,1,1,1,0,0.2558279222819932,0.4433985464250691,0.33956456184387207,0.06851744651794434
500,0.2,15,3,1,1,1,1,0.2211766766294812,0.4277634578220546,0.3372154235839844,0.06201767921447754
500,0.2,15,3,1,1,1,2,0.23243735308517394,0.386542505973962,0.344576358795166,0.06451058387756348
500,0.2,15,3,1,1,1,3,0.2288114530985848,0.3744304609540552,0.33928489685058594,0.07451462745666504
500,0.2,15,3,1,1,1,4,0.24039496545553873,0.43944824252494386,0.43569207191467285,0.08351349830627441
500,0.2,15,3,1,1,1,5,0.22763715662655398,0.4230854254477296,0.399472713470459,0.07451486587524414
500,0.2,15,3,1,1,1,6,0.23457857326353945,0.41904327101567745,0.34443092346191406,0.06802988052368164
500,0.2,15,3,1,1,1,7,0.24222938968405416,0.39789259556371137,0.4953887462615967,0.09518790245056152
500,0.2,15,3,1,1,1,8,0.2571310376886048,0.3974349809402427,0.5236928462982178,0.10385513305664062
500,0.2,15,3,1,1,1,9,0.20810320228244705,0.41496544689685605,0.5010030269622803,0.10803103446960449
500,0.2,15,3,1,1,1,10,0.2515864007363112,0.4253782111232668,0.5018181800842285,0.09151625633239746
500,0.2,15,3,1,1,1,11,0.21318227876847148,0.4045867972045836,0.63163161277771,0.12041807174682617
500,0.2,15,3,1,1,1,12,0.2147591139128398,0.43497783629588277,0.5253653526306152,0.10151386260986328
500,0.2,15,3,1,1,1,13,0.24416933864546841,0.39013829077917306,0.5201492309570312,0.10054993629455566
500,0.2,15,3,1,1,1,14,0.2629378864632287,0.41315632096142446,0.5086183547973633,0.09452962875366211
500,0.2,15,3,1,1,1,15,0.2016327696001805,0.373943169738566,0.5104789733886719,0.09845280647277832
500,0.2,15,3,1,1,1,16,0.2260642678166615,0.3961323474855509,0.57914137840271,0.12352657318115234
500,0.2,15,3,1,1,1,17,0.21608435742038967,0.3996153781514871,0.646355152130127,0.10450148582458496
500,0.2,15,3,1,1,1,18,0.23307800951986415,0.4287930267557745,0.531158447265625,0.08753442764282227
